fare_id,price,currency_type,payment_method,transfers,transfer_duration
1.4,1.4,GHC,0,0,
1.5,1.5,GHC,0,0,
1.6,1.6,GHC,0,0,
1.7,1.7,GHC,0,0,
1.2,1.2,GHC,0,0,
1.3,1.3,GHC,0,0,
1.8,1.8,GHC,0,0,
1.9,1.9,GHC,0,0,
3.6,3.6,GHC,0,0,
2.9,2.9,GHC,0,0,
2.8,2.8,GHC,0,0,
3.2,3.2,GHC,0,0,
3.3,3.3,GHC,0,0,
2.3,2.3,GHC,0,0,
2.2,2.2,GHC,0,0,
2.1,2.1,GHC,0,0,
2.7,2.7,GHC,0,0,
2.6,2.6,GHC,0,0,
2.5,2.5,GHC,0,0,
2.4,2.4,GHC,0,0,
4.5,4.5,GHC,0,0,
4.4,4.4,GHC,0,0,
4.7,4.7,GHC,0,0,
4.6,4.6,GHC,0,0,
4.3,4.3,GHC,0,0,
5.7,5.7,GHC,0,0,
4.8,4.8,GHC,0,0,
1,1.0,GHC,0,0,
0,0.0,GHC,0,0,
3,3.0,GHC,0,0,
2,2.0,GHC,0,0,
5,5.0,GHC,0,0,
3.8,3.8,GHC,0,0,
3.9,3.9,GHC,0,0,
4,4.0,GHC,0,0,
5.3,5.3,GHC,0,0,
5.30,5.3,GHC,0,0,
10,10.0,GHC,0,0,
3.5,3.5,GHC,0,0,
