fare_id,route_id,origin_id,destination_id,contains_id
1.4,167,,,
1.4,343,,,
1.4,265,,,
1.4,269,,,
1.4,56,,,
1.4,317,,,
1.4,369,,,
1.4,363,,,
1.4,336,,,
1.4,98,,,
1.4,164,,,
1.4,155,,,
1.4,357,,,
1.4,71,,,
1.5,454,,,
1.5,313,,,
1.5,449,,,
1.5,437,,,
1.5,272,,,
1.5,391,,,
1.5,157,,,
1.5,72,,,
1.5,473,,,
1.6,344,,,
1.6,281,,,
1.6,58,,,
1.6,309,,,
1.6,434,,,
1.6,196,,,
1.6,463,,,
1.6,228,,,
1.6,395,,,
1.6,326,,,
1.6,324,,,
1.6,70,,,
1.7,996,,,
1.7,415,,,
1.7,423,,,
1.7,107,,,
1.7,170,,,
1.7,542,,,
1.7,222,,,
1.7,271,,,
1.7,273,,,
1.7,277,,,
1.7,270,,,
1.2,283,,,
1.2,159,,,
1.2,325,,,
1.3,452,,,
1.8,474,,,
1.8,226,,,
1.8,28,,,
1.8,2,,,
1.8,176,,,
1.8,535,,,
1.8,296,,,
1.8,114,,,
1.8,85,,,
1.8,488,,,
1.8,174,,,
1.8,378,,,
1.8,521,,,
1.8,308,,,
1.8,307,,,
1.8,242,,,
1.8,39,,,
1.8,177,,,
1.8,385,,,
1.8,536,,,
1.8,314,,,
1.8,43,,,
1.8,486,,,
1.8,485,,,
1.9,216,,,
1.9,219,,,
1.9,298,,,
1.9,393,,,
1.9,66,,,
1.9,254,,,
1.9,11,,,
1.9,400,,,
1.9,476,,,
3.6,118,,,
2.9,290,,,
2.9,172,,,
2.9,223,,,
2.9,230,,,
2.8,212,,,
2.8,318,,,
2.8,88,,,
2.8,82,,,
2.8,428,,,
2.8,104,,,
2.8,15,,,
2.8,424,,,
2.8,202,,,
2.8,204,,,
2.8,206,,,
2.8,208,,,
3.2,51,,,
3.2,18,,,
3.3,342,,,
2.3,20,,,
2.3,348,,,
2.3,990,,,
2.3,299,,,
2.3,293,,,
2.3,447,,,
2.3,240,,,
2.3,102,,,
2.3,36,,,
2.3,445,,,
2.3,339,,,
2.3,331,,,
2.3,243,,,
2.3,236,,,
2.3,237,,,
2.3,81,,,
2.3,48,,,
2.3,322,,,
2.3,7,,,
2.3,291,,,
2.3,367,,,
2.2,492,,,
2.2,540,,,
2.2,417,,,
2.2,410,,,
2.2,373,,,
2.2,274,,,
2.2,399,,,
2.2,412,,,
2.2,380,,,
2.2,103,,,
2.2,31,,,
2.2,438,,,
2.2,368,,,
2.2,435,,,
2.2,175,,,
2.2,251,,,
2.2,405,,,
2.2,90,,,
2.2,302,,,
2.2,266,,,
2.1,50,,,
2.1,93,,,
2.1,444,,,
2.1,338,,,
2.1,356,,,
2.1,46,,,
2.1,76,,,
2.1,351,,,
2.1,539,,,
2.7,284,,,
2.7,55,,,
2.7,422,,,
2.7,241,,,
2.7,455,,,
2.7,64,,,
2.7,389,,,
2.7,221,,,
2.7,286,,,
2.6,333,,,
2.6,306,,,
2.6,255,,,
2.6,480,,,
2.5,262,,,
2.5,264,,,
2.5,414,,,
2.5,193,,,
2.5,38,,,
2.5,35,,,
2.5,469,,,
2.5,10,,,
2.5,235,,,
2.5,231,,,
2.5,203,,,
2.4,287,,,
2.4,84,,,
2.4,173,,,
2.4,443,,,
2.4,303,,,
2.4,92,,,
2.4,117,,,
4.5,383,,,
4.4,301,,,
4.7,328,,,
4.6,398,,,
4.6,394,,,
4.3,23,,,
4.3,388,,,
5.7,347,,,
4.8,19,,,
1,436,,,
1,288,,,
0,490,,,
0,61,,,
0,538,,,
0,544,,,
0,256,,,
0,178,,,
0,185,,,
0,166,,,
0,238,,,
0,468,,,
3,225,,,
3,406,,,
3,402,,,
3,401,,,
3,994,,,
3,52,,,
3,377,,,
3,425,,,
3,419,,,
3,456,,,
3,99,,,
3,41,,,
3,200,,,
3,470,,,
2,214,,,
2,210,,,
2,26,,,
2,21,,,
2,29,,,
2,282,,,
2,995,,,
2,523,,,
2,999,,,
2,260,,,
2,267,,,
2,295,,,
2,310,,,
2,192,,,
2,276,,,
2,416,,,
2,524,,,
2,3,,,
2,520,,,
2,522,,,
2,420,,,
2,441,,,
2,305,,,
2,247,,,
2,100,,,
2,249,,,
2,30,,,
2,431,,,
2,458,,,
2,65,,,
2,442,,,
2,163,,,
2,349,,,
2,224,,,
2,278,,,
2,205,,,
2,207,,,
2,209,,,
2,376,,,
5,211,,,
5,998,,,
5,112,,,
5,9,,,
3.8,275,,,
3.9,404,,,
4,188,,,
4,467,,,
4,6,,,
5.3,4,,,
5.3,40,,,
5.3,337,,,
5.30,8,,,
10,116,,,
3.5,227,,,
3.5,16,,,
3.5,408,,,
3.5,386,,,
3.5,105,,,
