route_type,route_id,route_short_name,route_long_name,agency_id,route_desc,route_color,route_text_color
3,216,216,Circle Lido ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,214,214,Circle ↔ WAEC,AM3,,1779c2,ffffff
3,212,212,Circle ↔ Accra New Tema Station,AM3,,1779c2,ffffff
3,210,210,Teachers Hall ↔ Circle,AM3,,1779c2,ffffff
3,211,211,Tema (Motorway) ↔ Circle,AM3,,1779c2,ffffff
3,452,452,Orgle-Road ↔ Kaneshie,AM3,,1779c2,ffffff
3,219,219,Circle Overhead ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,164,164,Kaneshie ↔ Arena,AM3,,1779c2,ffffff
3,90,90,Darkuman ↔ Achimota,AM3,,1779c2,ffffff
3,538,538,Zambrama Line ↔ Kaneshie,AM3,,1779c2,ffffff
3,490,490,Sukura ↔ Nima-Mamobi,AM3,,1779c2,ffffff
3,225,225,Fan-Milk ↔ Accra CMB,AM3,,1779c2,ffffff
3,492,492,Tabora Alhaji ↔ Kaneshie Station,AM3,,1779c2,ffffff
3,26,26,Accra U.T.C ↔ Abeka Main Market,AM3,,1779c2,ffffff
3,167,167,Kaneshie ↔ Atico,AM3,,1779c2,ffffff
3,20,20,Accra UTC ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,21,21,Dome ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,23,23,Teshie Nungua ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,28,28,Circle Indust. Area ↔ Abeka Main Market,AM3,,1779c2,ffffff
3,29,29,Kaneshie ↔ Abeka Main Market,AM3,,1779c2,ffffff
3,344,344,Santa Maria ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,288,288,Swanlake ↔ Kaneshie,AM3,,1779c2,ffffff
3,405,405,Nima Overhead ↔ Lapaz-Nii Boi Junction,AM3,,1779c2,ffffff
3,347,347,Tema ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,4,4,Ashaiman Main Station ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,342,342,Omanjor ↔ Abeka Lapaz,AM3,,1779c2,ffffff
3,343,343,Race Course ↔ Abeka Lapaz,AM3,,1779c2,ffffff
