route_id,trip_id,service_id,shape_id,direction_id,trip_headsign
399,344,0,7589522,0,Nima Overhead Maamobi
10,0,0,7437119,0,Amasaman
4,346,0,7435456,0,Ashaiman Main Station
4,347,0,7435650,1,Abeka Lapaz
395,340,0,7476945,0,Nima
395,341,0,7476928,1,Circle
398,342,0,7472286,0,Nima Mamobi
398,343,0,7472219,1,Ashiaman
40,348,0,7518920,0,Ashiaman
40,349,0,7518969,1,Abeka Lapaz
357,298,0,7582938,0,Mallam Attah
357,299,0,7582921,1,Kotobabi Down/Polo park
356,296,0,7477758,0,Mallam Atta
356,297,0,7477561,1,Achimota
351,294,0,7477507,0,Legon
351,295,0,7477090,1,Dome
35,292,0,7445185,0,Agape
35,293,0,7445272,1,Abeka Lapaz
349,290,0,7481044,0,Yellow House
349,291,0,7481118,1,Abeka Lapaz
282,199,0,7406251,1,Kaneshie
282,198,0,7406252,0,Shalom
28,195,0,7445107,1,Abeka Main Market
28,194,0,7444960,0,Circle Industrial Area
281,197,0,7422797,1,Kaneshie
281,196,0,7422764,0,Russia
277,191,0,7423604,1,Kaneshie
277,190,0,7423593,0,Mamprobi Alhaji
278,193,0,7424841,1,Kaneshie
278,192,0,7423715,0,New town
333,270,0,7484395,0,Adenta
333,271,0,7484459,1,Abeka Lapaz
336,272,0,7480574,0,Alhaji
336,273,0,7480603,1,Abeka Lapaz
337,274,0,7499756,0,Ashaiman
337,275,0,7499799,1,Abeka Lapaz
338,276,0,7480775,0,Lomnava
338,277,0,7480897,1,Abeka Lapaz
339,278,0,7482996,0,Madina
339,279,0,7483083,1,Abeka Lapaz
84,524,0,7452016,0,Kuntunse/Satelite
84,525,0,7452112,1,Achimota
85,526,0,7541588,0,Akweteman Zongo
85,527,0,7541688,1,Achimota
81,520,0,7452960,0,Adenta Station
81,521,0,7453016,1,Achimota
82,522,0,7519008,0,Adjiringanor
82,523,0,7519055,1,Achimota
88,528,0,7453599,0,Asofan
88,529,0,7453708,1,Achimota
48,449,0,7443807,1,Abeka Lapaz
48,448,0,7443792,0,Korle Bu
473,443,0,7571472,1,Accra Salaga
473,442,0,7571466,0,Chemuna
470,441,0,7459937,1,Accra Rawlings Park
470,440,0,7459883,0,Osu Penta Hotel
476,447,0,7459274,1,Accra Salaga
476,446,0,7459269,0,Camara
474,445,0,7571392,1,Accra Salaga
474,444,0,7571363,0,Appiah Danquah
219,108,0,7473852,0,Circle Overhead
219,109,0,7473851,1,Abeka Lapaz
212,102,0,7473839,0,Circle
212,103,0,7473677,1,Accra New Tema Station
211,100,0,7418634,0,Tema (Motorway)
211,101,0,7418705,1,Circle
216,106,0,7604961,0,Circle Lido
216,107,0,7604910,1,Abeka Lapaz
214,104,0,7452793,0,Circle
214,105,0,7452834,1,WAEC
164,39,0,7546841,1,Arena
164,38,0,7546832,0,Kaneshie
159,33,0,7546702,1,Alajo Junction
159,32,0,7546679,0,Kotobabi Police Station
157,31,0,7475834,1,Alajo
157,30,0,7475767,0,Circle
163,37,0,7476011,1,Accra New Tema Station
163,36,0,7476130,0,Apapa
16,35,0,7440783,1,Abeka Lapaz
16,34,0,7440716,0,Sapeiman
469,438,0,7573166,0,Nungua Authority
469,439,0,7573254,1,Accra Rawlings Park
468,436,0,7573398,0,La Olympia
468,437,0,7573423,1,Accra Rawlings Park
467,434,0,7598052,0,Sakaman Blue Lagoon
467,435,0,7598170,1,Accra Rawlings Park
463,432,0,7573602,0,Mamprobi
463,433,0,7573618,1,Accra Post Office
46,430,0,7421169,0,Kaneshie
46,431,0,7421637,1,Abeka Lapaz
394,339,0,7589111,1,Ashaiman
394,338,0,7589307,0,Nima
391,335,0,7477057,1,Accra New Town
391,334,0,7477001,0,Nima Maamobi
393,337,0,7588716,1,Accra
393,336,0,7588792,0,Nima
389,331,0,7477084,1,Accra New Town
389,330,0,7477078,0,Madina
39,333,0,7456423,1,Abeka Lapaz
39,332,0,7456407,0,Antie-Eku Pallas Town
399,345,0,7589438,1,Achimota Terminal
103,6,0,7474787,0,Mallam Attah
210,99,0,7471821,1,Circle
210,98,0,7471704,0,Teachers Hall
207,91,0,7471405,1,Circle
207,90,0,7471386,0,Ridge Hospital
208,93,0,7471608,1,Circle
208,92,0,7471482,0,Stadium
209,95,0,7418496,1,Circle
209,94,0,7418430,0,Swanlake Last Stop
21,97,0,7441989,1,Abeka Lapaz
21,96,0,7441963,0,Dome
998,551,0,7425044,1,Ashaiaman
998,550,0,7425103,0,Circle Overhead
999,553,0,7563449,1,Abeka Lapaz
999,552,0,7563404,0,Sowutuom
306,238,0,7499292,0,Korle Bu
306,239,0,7499245,1,Darkuman
303,234,0,7580677,0,Mallam
303,235,0,7580704,1,Korle Bu
305,236,0,7462990,0,Kaneshie
305,237,0,7462792,1,Dansoman
301,230,0,7462285,0,Kasoa
301,231,0,7462383,1,Korle Bu
302,232,0,7559376,0,Kwashieman/Santa Maria
302,233,0,7559519,1,Korle Bu
10,1,0,7437138,1,Abeka Lapaz
243,146,0,7488728,0,Santa Maria
243,147,0,7488767,1,Dansoman
242,144,0,7425735,0,Odorkor
242,145,0,7426645,1,Dansoman
241,142,0,7498573,0,Circle Overhead
241,143,0,7498362,1,Bawaleshie
240,140,0,7496999,0,Nyamekye
240,141,0,7499295,1,Dansoman
247,148,0,7552566,0,Darkuman
247,149,0,7552552,1,Agbogbloshie
235,133,0,7497752,1,Achimota
235,132,0,7497987,0,Dansoman
231,131,0,7480160,1,Accra CMB
231,130,0,7480068,0,Weija
237,137,0,7552443,1,Awoshie
237,136,0,7552492,0,Dansoman
236,135,0,7552018,1,Arena
236,134,0,7552151,0,Dansoman
56,494,0,7496940,0,Race Course
56,495,0,7407962,1,Abeka Lapaz
238,139,0,7498111,1,Circle
238,138,0,7498214,0,Dansoman
544,490,0,7585174,0,Zongo Junction
544,491,0,7585106,1,Korle Bu
55,492,0,7458464,0,Osu
55,493,0,7458534,1,Abeka Lapaz
118,24,0,7542086,0,Teshie-Nungua
118,25,0,7542139,1,Achimota
15,26,0,7416050,0,Dome Kwabenya
15,27,0,7416141,1,Abeka Lapaz
116,20,0,7499451,0,Tema
116,21,0,7499478,1,Achimota
117,22,0,7541972,0,Tema Main Station
117,23,0,7542012,1,Achimota
155,28,0,7475602,0,Kaneshie
155,29,0,7475644,1,Akoto Lante
441,407,0,7573640,1,American House
441,406,0,7573652,0,Okponglo
438,405,0,7597854,1,Accra New Tema Station
438,404,0,7597893,0,Odorkor
437,403,0,7597691,1,Odorkor
437,402,0,7597657,0,South Odorkor
436,401,0,7461708,1,Odorkor
436,400,0,7461665,0,Official Town
442,409,0,7575476,1,Bawaleshie
442,408,0,7575482,0,Okponglo
419,379,0,7463559,1,Agblezah
419,378,0,7463689,0,Odorna
414,371,0,7466879,1,Madina
414,370,0,7466923,0,Nima Station
415,373,0,7466632,1,Nima Station
415,372,0,7466448,0,Nyaho
416,375,0,7463965,1,Accra New Tema Station
416,374,0,7463937,0,Cantonments
417,377,0,7594887,1,Accra New Tema Station
417,376,0,7594940,0,Nima Station
43,393,0,7457668,1,Abeka Lapaz
43,392,0,7457497,0,Bubiashie
206,88,0,7471344,0,Osu RE
206,89,0,7471361,1,Circle
434,397,0,7586649,1,Anyah
434,396,0,7586875,0,Odorkor
431,395,0,7462917,1,Circle Odorna
431,394,0,7462748,0,Korle Bu
203,82,0,7551926,0,Orgle Road
203,83,0,7551948,1,Circle
202,80,0,7467968,0,Novotel
202,81,0,7467970,1,Circle
205,86,0,7471262,0,Osu RE
205,87,0,7471278,1,Circle
204,84,0,7468317,0,Osu Presby
204,85,0,7468337,1,Circle
103,7,0,7474823,1,Achimota
309,245,0,7480327,1,Circle Lido
